start,duration
611691706,2470
615691699,2474
619691673,2865
623691686,2582
627691684,2476
631691677,3544
635691702,2840
639691677,3105
643691689,3121
647691656,3690
651691701,3290
655691679,3324
659691677,3976
663691686,2773
667691696,2490
671691679,2453
675691685,2616
679691679,2675
683691677,2443
687691699,2468
691691671,2630
695691692,4973
699691694,2753
703691688,2494
707691674,2716
711691667,2491
715691671,2468
719691695,3708
723691672,2541
727691704,3140
731691689,3201
735691700,2673
739691698,2503
743691693,11156
747691698,3001
751691698,2493
755691686,3910
759691686,2973
763691695,2466
767691689,2483
771691688,2753
771867105,2663
775691678,3078
779691700,4010
783691684,3015
787691686,2540
791691689,2682
795691691,2503
799691688,2464
803691697,2513
807691681,2505
811691679,2500
815691702,2458
819691694,2433
823691672,2495
827691682,2511
831691686,2533
835691689,2492
839691675,3873
843691688,3141
847691692,2643
851691703,2507
855691706,3209
859691691,2748
863691702,3135
867691697,2736
871691699,2459
875691680,2808
879691694,2514
883691671,2500
887691686,2504
891691681,2477
895691682,2497
899691669,3801
903691704,2725
907691679,2506
911691686,2493
915691702,2518
919691681,2444
923691680,2507
927691688,2446
931691698,3208
935691689,3026
935715112,7963
939691690,3065
943691676,2551
947691693,2509
951691697,2487
955691691,3442
959691677,3723
963691672,2545
967691686,2501
971691687,2490
975691670,2480
979691673,2522
983691689,2496
987691677,2513
991691682,2473
995691681,2536
999691687,3547
1003691699,2529
1007691679,2498
1011691677,2554
1015691671,2523
1019691686,3588
1023691700,2866
1027691686,2665
1031691675,9430
1035691702,3861
1039691681,2507
1043691689,2661
1047691703,2827
1051691688,2493
1055691700,3225
1059691697,2706
1063691684,2738
1067691684,2854
1071691697,2766
1075691678,2907
1079691683,3714
1083691698,3304
1087691676,2543
1091691684,2506
1095691690,3145
1099691699,2626
1103691703,3119
1107691688,2712
1111691689,6332
1111743851,4608
1115691701,5277
1119691696,3608
1123691719,3593
1127691675,3150
1131691702,2808
1135691696,3852
1136833003,5377
1136948707,20203
1137619443,3783
1137811932,11849
1139691683,10164
1143691707,4378
1147691692,4082
1151691692,3541
1155060572,10077
1155691711,3945
1159691692,4039
1163691704,4298
1167691678,3685
1171691705,3427
1175691706,3507
1179691707,12546
1183691681,3602
1187691684,3550
1191691694,2981
1195361018,24302
1195691732,3923
1199691695,4387
1203691690,3368
1207691702,3337
1211691687,2715
1215691684,2895
1219691703,2510
1223691687,3426
1223828046,5236
1227691687,4297
1231691709,2894
1235691703,3357
1239691687,2753
1243691690,2612
1247691686,2632
