start,duration
979447262,2439
983447252,3002
987447283,2919
991447294,2988
995447257,2498
999447258,3041
1003447274,2902
1007447265,2982
1011447276,2985
1015447267,2935
1019447273,3738
1023447264,3194
1027447268,3912
1031447285,3690
1035447263,2523
1039447289,2846
1043447280,2448
1047447267,3206
1051447294,4995
1055447305,3884
1059447285,12197
1063447286,3580
1067447294,3523
1071447280,4202
1075447271,3046
1079447285,4806
1083447270,3463
1087447267,2779
1091447254,2801
1095447264,2886
1099447274,2714
1103447281,2711
1107447255,2450
1111447273,2778
1115447260,2939
1119447254,3181
1123447251,3458
1127447268,2520
1131447269,3180
1135447256,2446
1139447256,3660
1143447274,4548
1147447288,3918
1151447282,3815
1155447295,14677
1159447283,3567
1163447280,3777
1167447273,2877
1171447273,2691
1175447257,3222
1179447286,2514
1183447267,2801
1187447276,2509
1191447259,3524
1195447272,2653
1199447260,4100
1203447278,2741
1207447260,2720
1211447264,3202
1215447272,2725
1219447272,2927
1223447264,3490
1226227655,29121
1227447280,2915
1231447265,2882
1235447264,2541
1239447268,2543
1243447272,2769
1247447267,2446
1251447253,4798
1255447291,5205
1259447270,5141
1263447278,3580
1267447275,3518
1269492192,24840
1270315496,7410
1271447296,5226
1275447280,3152
1279447254,2729
1283447264,3531
1287447264,2504
1291447262,2789
1295447257,2458
1299447276,3567
1303447278,3203
1307447275,2505
1311447249,10262
1315447271,3140
1315697716,12499
1316176960,8520
1316954176,7333
1319447273,7084
1323447284,3696
1327447280,3588
1331447284,3440
1335447275,3736
1339447302,3571
1343447275,5098
1347447282,3680
1351447289,3874
1355447293,3787
1359447291,11869
1363447285,3541
1367447291,3343
1371447299,2879
1375447271,2827
1379447258,5929
1383447277,2859
1387447262,2680
1391447259,2483
1395447266,2460
1399447273,2494
1403447268,2495
1407447255,2440
1411447274,2658
1414899216,3234
1415447288,2508
1419447260,2393
1423447263,2506
1427447261,2449
1431447265,2383
1435447259,2480
1439447294,3245
1443447282,3032
1447447280,2419
1451447269,5156
1455447270,3846
1459447275,3254
1463447285,3490
1467447291,3803
1471447276,3680
1475447284,3472
1479447290,3201
1483447292,3632
1487447281,2872
1491447276,2400
1495447253,2419
1499447257,3426
1503447274,2443
1507447264,2623
1511447265,2679
1515447269,2475
1519447260,2469
1523447289,3821
1527447266,2487
1531447270,3013
1535447260,2469
1539447265,2407
1543447262,4612
1547447286,4006
1551447291,6223
1553299510,21951
1555447300,5621
1559447292,6421
1563447281,3836
1567447299,3099
1571447262,2527
1575447282,2470
1579447251,2630
1583447262,3971
1587447275,2490
1591447273,2488
1595447283,2698
1599447264,2478
1603447266,2464
1607447285,2490
1611447267,2445
1615447268,2491
1619447283,3765
1623447267,3504
1627447261,2459
1631447275,2888
1635447255,2473
1639447276,2512
1643447281,2427
1647447285,2477
1651447281,4494
1655447297,3817
1659447287,3834
1663447277,3581
1667447272,3523
1671447298,4711
1675447274,5430
1679447277,8709
1683447288,3890
1687447271,3717
1691447311,3964
1695447298,3296
1699447276,3485
1703447270,3730
1707447288,4056
1711447267,3664
1715447279,4913
1719447290,3789
1723447269,3904
1727447271,3805
1731447284,3823
1735447287,3421
1739447274,3751
1743447266,5203
1747447289,3912
1751447270,3860
1755447293,3591
1759447287,3326
1763447261,4601
1767447292,3496
1771447283,2997
1775447289,2804
1779447257,2474
1783447270,2799
1787447277,2608
1791447271,2909
1795447269,2798
1799447272,3505
1803447266,2568
1807447267,2539
1811447268,2991
1815447264,2525
1819447282,2456
1823447267,2788
1827447263,2457
1831447276,2404
1835447257,2425
1839447261,2434
1843447273,2415
1847447276,2399
1851447284,2661
1855447268,2681
1859447272,3519
1863447279,2688
1867447258,2638
1871447273,2746
1875447280,2459
1879447260,2503
1883447254,3172
1887447265,2517
1891447275,2461
1895447260,2407
1899447266,4209
1903447279,2698
1907447260,2827
1911447265,2453
1915447274,2839
1919447273,4753
1923447285,3727
1927447277,2785
1931447283,2653
1935447257,2631
1939447265,4839
1943447261,4977
1947447280,4686
1951447286,3877
1955447273,3088
1959447278,3533
1963447289,3716
1967447292,3780
1971447275,3285
1975447296,3437
1979447293,5096
1983447288,3726
1987447272,3463
1991447284,3461
1995447282,2672
1999447256,3058
2003447270,3125
2007447258,3107
2011447258,2891
2015447274,2763
2019447272,3046
2023447290,2852
2027447277,2577
2031447251,3019
2035447278,2665
2039447267,3333
2043447268,2770
2047447278,2444
2051447269,3386
2055447266,3032
2059447273,2678
2063447279,2701
2067447272,2677
2071447272,2650
2075447246,3015
2079447267,2639
2083447261,3014
2087447251,2534
2091447278,2480
2095447273,2477
2099447273,3476
2103447267,2773
2107447278,2865
2111447275,2722
2115447274,3279
2119447283,3233
2123447266,3727
2127447280,3034
2131447267,2935
2135447290,2480
2139447269,2628
2143447268,4741
2147447280,4212
2151447289,3235
2155447296,3580
2159447285,5671
2163447284,3382
2167447274,3509
2171447285,3399
2175447269,3019
2179447266,2699
2183447278,4217
2187447272,3444
2191447289,2931
2195447258,2495
2199447256,2654
2203447264,2934
2207447258,2728
2211447265,18191
2215447288,2978
2219447271,3606
2223447267,2788
2226251920,29919
2227447305,3002
2231447269,2520
2235447282,2461
2239447267,2504
2243447263,2447
2247199594,26561
2247363439,8146
2247447274,7204
2247517043,7566
2247638895,5937
2247751519,5889
2247859046,5522
2247967602,5525
2248077180,5445
